gene ID	gene name	p-value	K	Ks
7156	TOP3A	1.71490446931152e-14	19	9
2176	FANCC	7.06053091065052e-16	41	12
2188	FANCF	1.64720015949774e-16	19	10
80010	RMI1	1.64720015949774e-16	19	10
55120	FANCL	1.53503988466964e-18	35	13
57697	FANCM	1.45917802301873e-18	19	11
2187	FANCB	8.01970880889316e-21	14	11
26277	TINF2	1.92505736159456e-14	12	8
378708	APITD1	1.01699707698592e-12	26	9
3980	LIG3	8.42103360793941e-12	21	8
55775	TDP1	6.14035580838027e-13	6	6
5965	RECQL	1.86218719514223e-12	11	7
22909	FAN1	1.00796053921388e-11	13	7
1026	CDKN1A	1.94270076396956e-11	182	16
63967	CLSPN	2.23303228143504e-11	14	7
4999	ORC2	2.64171543686978e-11	34	9
9133	CCNB2	6.69210643868561e-11	9	6
65057	ACD	6.69210643868561e-11	9	6
25913	POT1	2.46483779259496e-11	8	6
5378	PMS1	9.64765705174002e-11	5	5
8243	SMC1A	1.11984836740114e-10	53	10
63922	CHTF18	6.02472880897327e-11	15	7
54921	CHTF8	8.77193147355717e-11	9	6
79075	DSCC1	7.76994412993734e-12	7	6
5429	POLH	7.03416156857598e-13	15	8
79184	BRCC3	1.64149272026033e-10	26	8
9577	BRE	7.61233692374811e-12	28	9
8658	TNKS	2.42288649218316e-10	17	7
11277	TREX1	2.81578080143541e-10	10	6
80233	C17orf70	2.81578080143541e-10	10	6
995	CDC25C	7.84146185593686e-10	30	8
328	APEX1	1.40561766778908e-09	46	9
5423	POLB	1.83303848393967e-10	16	7
1457	CSNK2A1	1.81348857821933e-09	313	19
4171	MCM2	6.30308773417528e-10	57	10
990	CDC6	7.07342200826592e-11	33	9
4998	ORC1	2.82871838291923e-11	42	10
81620	CDT1	5.27413265650515e-10	40	9
8900	CCNA1	1.19090984317721e-10	63	11
1869	E2F1	1.23606630452601e-11	84	13
2033	EP300	7.84363727281473e-10	284	19
5925	RB1	2.3478209445654e-10	176	16
1019	CDK4	1.14677222180156e-10	119	14
4609	MYC	2.94589291637364e-11	388	24
4176	MCM7	1.58179133506572e-11	83	13
1027	CDKN1B	3.09666913949279e-12	73	13
1021	CDK6	1.23743156081259e-11	64	12
5934	RBL2	1.54348927410705e-12	54	12
25	ABL1	2.34555331330289e-12	303	23
1022	CDK7	1.46346236740033e-13	87	15
1020	CDK5	1.25919576102209e-14	106	17
91768	CABLES1	1.30613310534309e-13	17	9
51343	FZR1	7.93623916713981e-13	28	10
1025	CDK9	1.10054619425381e-12	97	15
10485	C1orf61	4.68193339186436e-14	7	7
10763	NES	3.86356343302491e-13	8	7
84152	PPP1R1B	3.73765929681902e-12	15	8
5499	PPP1CA	1.03866995452542e-12	132	17
5770	PTPN1	5.75750437614387e-12	71	13
6241	RRM2	8.50165292283135e-12	16	8
1050	CEBPA	2.70395436501018e-11	63	12
5933	RBL1	6.55257569074887e-12	56	12
3065	HDAC1	1.01006985511182e-11	299	23
4605	MYBL2	1.4001489218741e-11	34	10
898	CCNE1	8.30884895118439e-13	47	12
6502	SKP2	1.29959933679905e-13	52	13
7314	UBB	5.76029652608716e-12	183	19
4194	MDM4	1.99546043258983e-12	38	11
1874	E2F4	9.2807776172302e-12	32	10
367	AR	1.0481547573246e-11	210	20
993	CDC25A	2.83749815571314e-11	35	10
7316	UBC	6.59049128801748e-12	334	25
3725	JUN	7.01312076276602e-12	305	24
4193	MDM2	1.07910813690581e-12	182	20
4654	MYOD1	7.7904313316635e-12	82	14
1028	CDKN1C	1.78499876884982e-12	13	8
5893	RAD52	1.79461131601085e-11	16	8
4088	SMAD3	4.15746720238563e-11	242	21
6597	SMARCA4	5.21798700452557e-12	130	17
1387	CREBBP	1.56265725753505e-12	274	24
1875	E2F5	1.18549944474645e-13	15	9
5371	PML	9.63530524834676e-13	83	15
7161	TP73	9.06838985792192e-14	85	16
6667	SP1	1.95667986404568e-12	323	26
4089	SMAD4	4.68955242937859e-12	186	20
23054	NCOA6	5.6489812205225e-12	76	14
4087	SMAD2	5.80900335195572e-12	281	24
8202	NCOA3	1.49260199477119e-12	83	15
8850	KAT2B	2.37057654513482e-13	103	17
5594	MAPK1	3.25086132673614e-13	290	26
6599	SMARCC1	8.50744951135753e-13	110	17
1051	CEBPB	1.52786717512912e-13	99	17
1386	ATF2	7.18257436523154e-14	80	16
861	RUNX1	4.76407804685827e-13	50	13
5970	RELA	5.7540275176189e-13	290	26
1459	CSNK2A2	3.88872452011545e-13	174	21
3066	HDAC2	1.08623965284113e-13	202	23
5757	PTMA	2.36955011875462e-14	40	13
7421	VDR	1.68670832215733e-13	82	16
9612	NCOR2	3.02553085595903e-14	87	17
9611	NCOR1	2.94137911980713e-15	103	19
8841	HDAC3	2.25857916256702e-14	114	19
6598	SMARCB1	3.54519839517639e-15	118	20
2908	NR3C1	5.36218301660427e-15	189	24
7704	ZBTB16	3.94095117013442e-16	105	20
6601	SMARCC2	6.34225992228271e-16	107	20
6595	SMARCA2	1.75329525276444e-16	87	19
79648	MCPH1	1.60920556446136e-18	13	11
5451	POU2F1	1.35675338102577e-14	80	17
6908	TBP	8.76590791951767e-15	188	24
6872	TAF1	1.25712796938604e-14	79	17
2959	GTF2B	8.87775284896706e-15	104	19
5430	POLR2A	4.96021740833082e-15	181	24
2071	ERCC3	1.03930333122521e-15	68	17
1024	CDK8	2.39599084466445e-15	83	18
2962	GTF2F1	1.29115797483301e-16	71	18
2965	GTF2H1	4.4675129795908e-17	67	18
6602	SMARCD1	3.77574294278387e-18	69	19
6604	SMARCD3	2.40423450674482e-19	36	16
54760	PCSK4	8.18592977665879e-21	25	15
6603	SMARCD2	1.66376143077407e-21	48	19
10589	DRAP1	1.06259981194361e-20	37	17
9412	MED21	1.12231001537153e-21	93	24
2960	GTF2E1	6.07872782784494e-23	56	21
892	CCNC	6.38438950442468e-22	80	23
2967	GTF2H3	1.41835190027399e-20	37	17
7067	THRA	4.16715254906506e-18	67	19
57492	ARID1B	1.74724018960352e-17	29	14
8289	ARID1A	1.30021986646174e-17	51	17
86	ACTL6A	4.54562704605002e-18	88	21
6605	SMARCE1	5.14028138026535e-18	100	22
5928	RBBP4	7.24647786686578e-19	157	27
25942	SIN3A	4.78076894127627e-19	154	27
3621	ING1	1.68280333712752e-19	48	18
9219	MTA2	1.06185286613745e-18	81	21
5931	RBBP7	1.37530835033271e-19	119	25
8819	SAP30	1.13897859548903e-19	73	21
51742	ARID4B	1.38686231986407e-21	22	15
1108	CHD4	4.74024006296522e-19	58	19
8932	MBD2	1.3866881926804e-20	42	18
57459	GATAD2B	1.48898859462278e-20	42	18
5977	DPF2	3.69104356400593e-22	25	16
53615	MBD3	3.27718641914094e-23	67	23
6880	TAF9	3.9311612356939e-21	101	25
10284	SAP18	1.83301487660602e-20	75	22
6878	TAF6	1.25591506596548e-20	56	20
53981	CPSF2	5.32016837602643e-22	42	19
1107	CHD3	2.39222625845131e-21	145	29
6883	TAF12	9.12883172311308e-23	60	22
8189	SYMPK	2.01715869966701e-24	39	20
23028	KDM1A	6.97800997585059e-25	81	26
4297	MLL	6.33457205867735e-26	59	24
5929	RBBP5	1.57724470502158e-26	71	26
8467	SMARCA5	2.98004543997938e-24	114	29
11091	WDR5	1.27810995504749e-23	98	27
5901	RAN	3.32913701879167e-24	160	33
60	ACTB	7.17150967752483e-20	299	38
9031	BAZ1B	4.87602885171864e-19	33	16
11198	SUPT16H	1.95555934727464e-19	89	23
8295	TRRAP	1.31529698045693e-18	75	21
6886	TAL1	1.32950745959073e-19	51	19
10274	STAG1	3.06658187366685e-18	24	14
11177	BAZ1A	5.46046277554336e-19	22	14
9112	MTA1	4.77833667230563e-20	56	20
5885	RAD21	4.5967825038841e-20	29	16
9126	SMC3	2.34092133236134e-20	54	20
10735	STAG2	1.75008838516031e-22	19	15
6613	SUMO2	1.15449960482063e-18	167	29
23186	RCOR1	1.4628260952624e-19	50	19
54815	GATAD2A	5.98090042344757e-19	14	12
10036	CHAF1A	4.68465202739253e-18	67	20
902	CCNH	6.44999696190375e-18	36	16
2068	ERCC2	1.17856519561819e-17	37	16
4331	MNAT1	3.26653998331165e-19	31	16
85509	MBD3L1	1.93742487536128e-17	10	10
9203	ZMYM3	3.19751256906396e-17	21	13
23309	SIN3B	2.96520087919286e-18	48	18
2961	GTF2E2	4.37016284090754e-17	39	16
2966	GTF2H2	2.02549041876881e-17	31	15
2968	GTF2H4	1.70740844873453e-17	44	17
5435	POLR2F	3.09246681114616e-17	38	16
5440	POLR2K	6.33659001707697e-18	29	15
5438	POLR2I	1.04943158901198e-18	32	16
5433	POLR2D	1.44216609724689e-19	41	18
5439	POLR2J	7.60741527607547e-21	36	18
5434	POLR2E	6.83663585801075e-22	58	22
5432	POLR2C	2.35275532520147e-23	51	22
5436	POLR2G	4.86914249507853e-24	42	21
5431	POLR2B	8.46251505258926e-25	65	25
2963	GTF2F2	1.24306057565408e-25	68	26
5441	POLR2L	5.33199263434901e-26	66	26
5437	POLR2H	4.73755180179156e-27	61	26
9150	CTDP1	3.09060696086861e-22	31	18
26015	RPAP1	1.94390168857778e-23	20	16
10661	KLF1	1.06469775309019e-16	17	12
7750	ZMYM2	2.36762466471307e-16	48	17
51317	PHF21A	9.11001358947758e-17	32	15
2969	GTF2I	1.40547988530678e-17	65	20
23199	KIAA0182	7.26339732687632e-19	36	17
3360	HTR4	2.02466289225946e-18	14	12
7528	YY1	6.51777412022421e-17	52	18
2648	KAT2A	6.39268495625306e-16	58	18
5469	MED1	2.57068688583884e-16	83	21
2623	GATA1	1.93088127049668e-16	72	20
84246	MED10	3.70899336841966e-16	74	20
3516	RBPJ	4.8814548486657e-16	41	16
1487	CTBP1	5.61328733538876e-16	85	21
51412	ACTL6B	1.26165677025937e-16	26	14
55193	PBRM1	1.8165233734036e-17	19	13
196528	ARID2	1.89140726394024e-17	19	13
55636	CHD7	4.48868495487659e-19	13	12
10362	HMG20B	1.69259513252119e-16	70	20
9343	EFTUD2	2.75411073276704e-15	206	30
404672	GTF2H5	2.91693092690947e-15	9	9
3308	HSPA4	3.21923125093816e-15	90	21
64426	SUDS3	3.60980754988748e-16	27	14
3320	HSP90AA1	1.77017490502785e-16	243	34
3297	HSF1	3.34193840179436e-17	64	20
5241	PGR	1.16821539583265e-15	49	17
6996	TDG	4.26948383499161e-16	27	14
3054	HCFC1	1.77481256353664e-15	58	18
9739	SETD1A	1.07907211448715e-16	25	14
8473	OGT	2.64922680515595e-16	45	17
9070	ASH2L	1.61263954200158e-17	61	20
57504	MTA3	6.13773965883624e-15	12	10
399511	TCEA1P2	6.13773965883624e-15	12	10
6304	SATB1	9.97526380873802e-15	16	11
6881	TAF10	1.18954090912996e-14	46	16
10474	TADA3	1.18954090912996e-14	46	16
8290	HIST3H3	1.32949932324967e-15	83	21
3312	HSPA8	1.36318500227167e-15	347	40
25855	BRMS1	2.38339523673948e-15	35	15
3622	ING2	1.29230950958323e-16	20	13
5926	ARID4A	1.34317704948865e-16	16	12
79595	SAP130	7.86781858235527e-16	27	14
84312	BRMS1L	9.06284196811748e-15	20	12
7341	SUMO1	1.33715688747536e-14	149	26
2957	GTF2A1	1.84811795478104e-14	32	14
602	BCL3	8.76154603875982e-16	39	16
6874	TAF4	1.49026176829401e-15	40	16
6877	TAF5	6.52079316144019e-16	32	15
6879	TAF7	4.28775837525437e-17	46	18
27097	TAF5L	1.91368609425701e-18	34	17
8464	SUPT3H	5.04161058450395e-20	29	17
6873	TAF2	2.24195767659262e-20	28	17
51616	TAF9B	1.2746628173631e-21	25	17
6884	TAF13	3.98044403058824e-22	28	18
6882	TAF11	4.38261374490804e-23	30	19
83860	TAF3	1.05640037562511e-24	17	16
2958	GTF2A2	8.1698568564867e-27	20	18
10629	TAF6L	5.29641439399457e-22	24	17
6875	TAF4B	3.96936858501195e-21	13	13
129685	TAF8	5.80085321140518e-18	11	11
6256	RXRA	4.71673566122635e-15	125	25
8648	NCOA1	1.16952483236609e-14	86	21
2353	FOS	2.00539223812423e-15	194	31
6830	SUPT6H	1.88170742005289e-15	22	13
904	CCNT1	8.74506811002783e-16	44	17
4851	NOTCH1	1.35212651429806e-15	60	19
3091	HIF1A	4.01608500051707e-16	73	21
3164	NR4A1	4.99685874754547e-16	92	23
10499	NCOA2	1.83856761958437e-16	62	20
10498	CARM1	1.13452642495046e-15	26	14
5914	RARA	1.52881521381157e-15	86	22
196	AHR	1.61676663764295e-15	38	16
5595	MAPK3	2.33002770914188e-15	245	35
9794	MAML1	3.87564096642738e-15	18	12
5599	MAPK8	5.9706649823983e-15	157	28
6774	STAT3	1.08894110775134e-15	147	28
3324	HSP90AA2	2.10196148926182e-15	68	20
2932	GSK3B	9.44312614710354e-15	253	35
4790	NFKB1	3.72070415993987e-15	217	33
688	KLF5	3.47074921828547e-16	29	15
4435	CITED1	1.64960494777246e-15	17	12
4221	MEN1	7.84920554569783e-15	34	15
51763	INPP5K	1.34643616706144e-14	29	14
9325	TRIP4	3.40148907530344e-14	20	12
405	ARNT	4.09112186899385e-14	37	15
6689	SPIB	4.74866935263599e-14	16	11
8805	TRIM24	5.0210745118735e-14	31	14
6314	ATXN7	1.10917076950584e-13	46	16
117143	TADA1	1.23406180013917e-13	13	10
9913	SUPT7L	4.6663267861523e-15	14	11
4298	MLLT1	1.50464921127670e-13	17	11
7044	LEFTY2	1.72692246738552e-14	9	9
3020	H3F3A	1.98607267517269e-13	47	16
10891	PPARGC1A	1.98607267517269e-13	47	16
5468	PPARG	1.71305128220083e-14	72	20
9862	MED24	1.51409164454865e-14	55	18
9440	MED17	3.41974860906199e-15	51	18
2100	ESR2	6.6552859853527e-16	78	22
9282	MED14	2.66004324807625e-16	59	20
3172	HNF4A	1.35606594681677e-16	81	23
9441	MED26	4.56241388150141e-16	68	21
9968	MED12	9.11729748804917e-17	49	19
55588	MED29	2.94051055505507e-17	84	24
9439	MED23	2.75333049752566e-18	48	20
10025	MED16	3.40373079994306e-19	44	20
55090	MED9	4.14914801683761e-19	71	24
10001	MED6	2.36947377899141e-20	45	21
81857	MED25	9.99837980342167e-22	40	21
9969	MED13	9.99837980342167e-22	40	21
51586	MED15	1.27912003240432e-22	53	24
9443	MED7	2.06946573430385e-21	52	23
9442	MED27	2.12117960651292e-22	33	20
9477	MED20	1.07985610731814e-23	34	21
23389	MED13L	5.92005213837702e-25	31	21
400569	MED11	5.92005213837702e-25	31	21
90390	MED30	1.30832034271755e-27	37	24
6837	MED22	5.566115482229e-29	34	24
80306	MED28	1.91687373980798e-29	71	32
23097	CDK19	3.58161691699984e-31	37	26
54797	MED18	3.58161691699984e-31	37	26
219541	MED19	6.99864111435912e-33	112	41
112950	MED8	6.17959413712665e-33	49	30
29079	MED4	6.73336335785552e-34	65	34
51003	MED31	1.67900755645704e-30	90	36
9967	THRAP3	1.95394944625438e-23	34	21
8535	CBX4	9.2211343020777e-19	50	21
55031	USP47	4.93040155417808e-16	15	12
6257	RXRB	3.0151473718131e-15	62	20
7068	THRB	1.65938053889421e-15	53	19
8204	NRIP1	1.14404757429161e-15	52	19
5465	PPARA	2.56145940216734e-15	47	18
4841	NONO	7.19937041828232e-15	64	20
6714	SRC	2.67395781845206e-15	439	51
6720	SREBF1	8.75504787990023e-15	31	15
8431	NR0B2	1.65275629428188e-14	32	15
10062	NR1H3	1.0581302959112e-14	26	14
10002	NR2E3	2.1990004352243e-14	27	14
2308	FOXO1	5.26335212539695e-14	40	16
10401	PIAS3	8.66615293712135e-14	41	16
5947	RBP1	9.85253268480501e-14	12	10
5971	RELB	2.28120775437041e-13	92	22
4602	MYB	3.72596826092363e-13	67	19
5601	MAPK9	1.03918243961207e-13	128	26
3925	STMN1	1.0292248660899e-13	41	16
5600	MAPK11	2.35911045156096e-14	74	21
1432	MAPK14	6.53127956086807e-14	230	35
8352	HIST1H3C	6.17853338515114e-14	77	21
896	CCND3	1.17929443597501e-13	41	16
1385	CREB1	2.51209520179012e-13	131	26
9252	RPS6KA5	7.75428443795037e-14	69	20
121504	HIST4H4	3.65381250185198e-14	92	23
23476	BRD4	1.72565991122197e-14	26	14
6722	SRF	6.64531185101633e-14	85	22
9261	MAPKAPK2	1.63366826592927e-13	48	17
6929	TCF3	4.39242065513755e-14	92	23
7329	UBE2I	2.39575925242441e-13	235	35
28996	HIPK2	1.18042016278605e-13	54	18
3159	HMGA1	1.06902663153573e-13	34	15
126961	HIST2H3C	3.10297061943895e-13	36	15
5916	RARG	3.47172548862623e-13	25	13
1499	CTNNB1	4.14062336856721e-13	224	34
7088	TLE1	1.24115212266824e-13	114	25
860	RUNX2	1.22378275850444e-13	40	16
7343	UBTF	2.18246734279447e-13	35	15
9759	HDAC4	3.25676459874497e-13	108	24
6721	SREBF2	5.34104196407595e-13	91	22
4208	MEF2C	5.41918360134959e-14	82	22
10987	COPS5	5.88135886152927e-14	119	26
5596	MAPK4	7.87461092651253e-14	45	17
1053	CEBPE	1.53666980391452e-13	40	16
5602	MAPK10	2.74489497924471e-14	79	22
2113	ETS1	2.07870182738804e-14	104	25
6688	SPI1	5.02724737660457e-15	45	18
2114	ETS2	1.33312826998949e-14	35	16
5598	MAPK7	2.11146074231204e-14	62	20
4204	MECP2	2.38219305346803e-14	21	13
6300	MAPK12	3.23427512056513e-14	63	20
1843	DUSP1	2.3858148877757e-14	17	12
5597	MAPK6	3.47970880908082e-14	247	38
8350	HIST1H3A	2.0830125191854e-14	85	23
1827	RCAN1	1.42972313068226e-13	23	13
5603	MAPK13	4.96702382700242e-14	145	29
8351	HIST1H3D	1.40387278782211e-14	60	20
8353	HIST1H3E	1.40387278782211e-14	60	20
8354	HIST1H3I	1.40387278782211e-14	60	20
8355	HIST1H3G	1.40387278782211e-14	60	20
8356	HIST1H3J	1.40387278782211e-14	60	20
8357	HIST1H3H	1.40387278782211e-14	60	20
8358	HIST1H3B	1.40387278782211e-14	60	20
6839	SUV39H1	2.39594503030249e-20	55	24
326	AIRE	2.65182575515783e-20	61	25
23468	CBX5	3.19857090821026e-20	74	27
8208	CHAF1B	5.09721948672657e-20	31	19
8361	HIST1H4F	1.76129963365335e-19	78	27
25842	ASF1A	7.7963803241148e-21	33	20
8968	HIST1H3F	1.73622983353741e-21	61	26
55723	ASF1B	2.091909251425e-21	45	23
8520	HAT1	8.77594427385372e-21	33	20
4678	NASP	1.14381922029515e-21	49	24
80854	SETD7	1.81455165531281e-17	29	17
9734	HDAC9	2.54126785883759e-17	34	18
29117	BRD7	7.08982056337454e-17	65	23
8368	HIST1H4L	5.00287634865283e-17	40	19
8359	HIST1H4A	2.84253846174611e-16	43	19
10951	CBX1	2.84253846174611e-16	43	19
9425	CDYL	2.21086148488841e-17	29	17
9682	KDM4A	6.21196645933798e-17	35	18
8370	HIST2H4A	1.90763479522792e-17	49	21
8294	HIST1H4I	3.38093583867033e-17	39	19
8360	HIST1H4D	3.38093583867033e-17	39	19
8362	HIST1H4K	3.38093583867033e-17	39	19
8363	HIST1H4J	3.38093583867033e-17	39	19
8364	HIST1H4C	3.38093583867033e-17	39	19
8365	HIST1H4H	3.38093583867033e-17	39	19
8366	HIST1H4B	3.38093583867033e-17	39	19
8367	HIST1H4E	3.38093583867033e-17	39	19
554313	HIST2H4B	3.38093583867033e-17	39	19
51230	PHF20	1.07913706291714e-34	24	24
26013	L3MBTL1	8.71909840002912e-32	29	25
55352	C17orf79	3.10195318960596e-31	27	24
7913	DEK	1.76283568898352e-28	34	25
1616	DAXX	1.09504121088305e-26	113	39
10013	HDAC6	6.92436547220558e-24	65	29
3008	HIST1H1E	1.23769510181053e-23	26	20
10014	HDAC5	7.12582407957911e-21	73	28
10419	PRMT5	9.99769937625872e-20	224	45
55355	HJURP	6.32305375009952e-19	18	15
1058	CENPA	1.4819015797707e-18	66	25
132660	LIN54	2.66756096031636e-18	44	21
51460	SFMBT1	4.09032579256324e-17	21	15
387893	SETD8	7.37035885636202e-16	28	16
